'Elapsed time','ECG I'
'hh:mm:ss.mmm','mV'
'0:00.000',-0.040
'0:00.002',-0.025
'0:00.004',-0.045
'0:00.006',-0.030
'0:00.008',-0.015
'0:00.010',-0.035
'0:00.012',-0.030
'0:00.014',-0.025
'0:00.016',-0.040
'0:00.018',-0.035
'0:00.020',-0.030
'0:00.022',-0.015
'0:00.024',-0.070
'0:00.026',-0.055
'0:00.028',0.020
'0:00.030',0.050
'0:00.032',0.040
'0:00.034',-0.095
'0:00.036',-0.070
'0:00.038',-0.090
'0:00.040',-0.035
'0:00.042',-0.020
'0:00.044',0.000
'0:00.046',-0.035
'0:00.048',-0.055
'0:00.050',-0.045
'0:00.052',-0.050
'0:00.054',-0.030
'0:00.056',-0.040
'0:00.058',-0.025
'0:00.060',-0.055
'0:00.062',-0.040
'0:00.064',-0.080
'0:00.066',-0.065
'0:00.068',-0.025
'0:00.070',-0.030
'0:00.072',-0.075
'0:00.074',-0.065
'0:00.076',-0.025
'0:00.078',-0.045
'0:00.080',-0.050
'0:00.082',-0.045
'0:00.084',-0.070
'0:00.086',-0.055
'0:00.088',-0.005
'0:00.090',-0.075
'0:00.092',-0.070
'0:00.094',-0.050
'0:00.096',-0.085
'0:00.098',-0.080
'0:00.100',-0.055
'0:00.102',-0.050
'0:00.104',-0.060
'0:00.106',-0.045
'0:00.108',-0.075
'0:00.110',-0.030
'0:00.112',-0.040
'0:00.114',-0.080
'0:00.116',-0.065
'0:00.118',-0.060
'0:00.120',-0.035
'0:00.122',-0.085
'0:00.124',-0.050
'0:00.126',-0.060
'0:00.128',-0.060
'0:00.130',-0.040
'0:00.132',-0.070
'0:00.134',-0.040
'0:00.136',-0.080
'0:00.138',-0.065
'0:00.140',-0.055
'0:00.142',-0.065
'0:00.144',-0.075
'0:00.146',-0.070
'0:00.148',-0.055
'0:00.150',-0.060
'0:00.152',-0.055
'0:00.154',-0.075
'0:00.156',-0.055
'0:00.158',-0.055
'0:00.160',-0.025
'0:00.162',-0.060
'0:00.164',-0.085
'0:00.166',-0.020
'0:00.168',-0.060
'0:00.170',-0.070
'0:00.172',-0.115
'0:00.174',-0.045
'0:00.176',-0.045
'0:00.178',-0.060
'0:00.180',-0.020
'0:00.182',-0.010
'0:00.184',-0.030
'0:00.186',-0.035
'0:00.188',0.000
'0:00.190',-0.015
'0:00.192',-0.040
'0:00.194',-0.030
'0:00.196',0.000
'0:00.198',0.040
'0:00.200',0.030
'0:00.202',0.030
'0:00.204',0.020
'0:00.206',0.000
'0:00.208',-0.015
'0:00.210',-0.020
'0:00.212',-0.055
'0:00.214',-0.055
'0:00.216',-0.065
'0:00.218',-0.080
'0:00.220',-0.095
'0:00.222',-0.090
'0:00.224',-0.060
'0:00.226',-0.060
'0:00.228',-0.055
'0:00.230',-0.115
'0:00.232',-0.105
'0:00.234',-0.095
'0:00.236',-0.110
'0:00.238',-0.060
'0:00.240',-0.085
'0:00.242',-0.110
'0:00.244',-0.075
'0:00.246',-0.080
'0:00.248',-0.070
'0:00.250',-0.085
'0:00.252',-0.095
'0:00.254',-0.105
'0:00.256',-0.065
'0:00.258',-0.070
'0:00.260',-0.085
'0:00.262',-0.105
'0:00.264',-0.100
'0:00.266',-0.045
'0:00.268',-0.050
'0:00.270',-0.065
'0:00.272',-0.115
'0:00.274',-0.095
'0:00.276',-0.085
'0:00.278',-0.115
'0:00.280',-0.090
'0:00.282',-0.080
'0:00.284',-0.105
'0:00.286',-0.145
'0:00.288',-0.130
'0:00.290',-0.070
'0:00.292',-0.095
'0:00.294',-0.005
'0:00.296',0.135
'0:00.298',0.180
'0:00.300',0.245
'0:00.302',0.300
'0:00.304',0.365
'0:00.306',0.330
'0:00.308',0.420
'0:00.310',0.435
'0:00.312',0.305
'0:00.314',0.115
'0:00.316',0.055
'0:00.318',-0.045
'0:00.320',-0.130
'0:00.322',-0.245
'0:00.324',-0.295
'0:00.326',-0.230
'0:00.328',-0.175
'0:00.330',-0.100
'0:00.332',-0.150
'0:00.334',-0.165
'0:00.336',-0.155
'0:00.338',-0.075
'0:00.340',-0.080
'0:00.342',-0.045
'0:00.344',-0.060
'0:00.346',-0.065
'0:00.348',-0.085
'0:00.350',-0.055
'0:00.352',-0.080
'0:00.354',-0.070
'0:00.356',-0.050
'0:00.358',-0.080
'0:00.360',-0.080
'0:00.362',-0.100
'0:00.364',-0.095
'0:00.366',-0.095
'0:00.368',-0.085
'0:00.370',-0.065
'0:00.372',-0.070
'0:00.374',-0.050
'0:00.376',-0.100
'0:00.378',-0.045
'0:00.380',-0.070
'0:00.382',-0.080
'0:00.384',-0.090
'0:00.386',-0.085
'0:00.388',-0.060
'0:00.390',-0.070
'0:00.392',-0.085
'0:00.394',-0.040
'0:00.396',-0.075
'0:00.398',-0.055
'0:00.400',-0.030
'0:00.402',-0.040
'0:00.404',-0.035
'0:00.406',-0.070
'0:00.408',-0.070
'0:00.410',-0.060
'0:00.412',-0.010
'0:00.414',-0.025
'0:00.416',-0.030
'0:00.418',-0.045
'0:00.420',-0.070
'0:00.422',-0.060
'0:00.424',-0.020
'0:00.426',-0.065
'0:00.428',-0.075
'0:00.430',-0.030
'0:00.432',-0.025
'0:00.434',-0.040
'0:00.436',-0.055
'0:00.438',-0.060
'0:00.440',-0.010
'0:00.442',0.005
'0:00.444',-0.005
'0:00.446',-0.045
'0:00.448',-0.035
'0:00.450',-0.030
'0:00.452',-0.040
'0:00.454',-0.025
'0:00.456',-0.015
'0:00.458',0.010
'0:00.460',0.020
'0:00.462',0.000
'0:00.464',0.005
'0:00.466',-0.010
'0:00.468',0.075
'0:00.470',0.035
'0:00.472',0.030
'0:00.474',0.025
'0:00.476',0.040
'0:00.478',0.060
'0:00.480',0.025
'0:00.482',0.045
'0:00.484',0.015
'0:00.486',0.050
'0:00.488',0.080
'0:00.490',0.095
'0:00.492',0.075
'0:00.494',0.065
'0:00.496',0.090
'0:00.498',0.080
'0:00.500',0.085
'0:00.502',0.090
'0:00.504',0.080
'0:00.506',0.110
'0:00.508',0.135
'0:00.510',0.120
'0:00.512',0.115
'0:00.514',0.145
'0:00.516',0.100
'0:00.518',0.075
'0:00.520',0.105
'0:00.522',0.120
'0:00.524',0.115
'0:00.526',0.135
'0:00.528',0.090
'0:00.530',0.055
'0:00.532',0.055
'0:00.534',0.095
'0:00.536',0.115
'0:00.538',0.085
'0:00.540',0.025
'0:00.542',0.085
'0:00.544',0.070
'0:00.546',0.035
'0:00.548',-0.010
'0:00.550',-0.015
'0:00.552',-0.010
'0:00.554',-0.010
'0:00.556',-0.035
'0:00.558',-0.025
'0:00.560',-0.045
'0:00.562',-0.085
'0:00.564',-0.030
'0:00.566',-0.055
'0:00.568',-0.080
'0:00.570',-0.090
'0:00.572',-0.080
'0:00.574',-0.075
'0:00.576',-0.080
'0:00.578',-0.075
'0:00.580',-0.080
'0:00.582',-0.075
'0:00.584',-0.060
'0:00.586',-0.110
'0:00.588',-0.130
'0:00.590',-0.100
'0:00.592',-0.095
'0:00.594',-0.090
'0:00.596',-0.100
'0:00.598',-0.100
'0:00.600',-0.085
'0:00.602',-0.115
'0:00.604',-0.080
'0:00.606',-0.090
'0:00.608',-0.110
'0:00.610',-0.115
'0:00.612',-0.075
'0:00.614',-0.125
'0:00.616',-0.120
'0:00.618',-0.105
'0:00.620',-0.135
'0:00.622',-0.085
'0:00.624',-0.100
'0:00.626',-0.105
'0:00.628',-0.110
'0:00.630',-0.100
'0:00.632',-0.090
'0:00.634',-0.140
'0:00.636',-0.125
'0:00.638',-0.120
'0:00.640',-0.095
'0:00.642',-0.110
'0:00.644',-0.065
'0:00.646',-0.090
'0:00.648',-0.115
'0:00.650',-0.075
'0:00.652',-0.065
'0:00.654',-0.135
'0:00.656',-0.110
'0:00.658',-0.115
'0:00.660',-0.105
'0:00.662',-0.090
'0:00.664',-0.085
'0:00.666',-0.100
'0:00.668',-0.060
'0:00.670',-0.035
'0:00.672',-0.130
'0:00.674',-0.115
'0:00.676',-0.105
'0:00.678',-0.115
'0:00.680',-0.135
'0:00.682',-0.110
'0:00.684',-0.075
'0:00.686',-0.070
'0:00.688',-0.105
'0:00.690',-0.125
'0:00.692',-0.105
'0:00.694',-0.130
'0:00.696',-0.120
'0:00.698',-0.070
'0:00.700',-0.045
'0:00.702',-0.120
'0:00.704',-0.110
'0:00.706',-0.095
'0:00.708',-0.110
'0:00.710',-0.115
'0:00.712',-0.110
'0:00.714',-0.110
'0:00.716',-0.055
'0:00.718',-0.125
'0:00.720',-0.125
'0:00.722',-0.120
'0:00.724',-0.085
'0:00.726',-0.090
'0:00.728',-0.050
'0:00.730',-0.110
'0:00.732',-0.085
'0:00.734',-0.065
'0:00.736',-0.110
'0:00.738',-0.140
'0:00.740',-0.115
'0:00.742',-0.080
'0:00.744',-0.120
'0:00.746',-0.060
'0:00.748',-0.110
'0:00.750',-0.090
'0:00.752',-0.090
'0:00.754',-0.100
'0:00.756',-0.105
'0:00.758',-0.110
'0:00.760',-0.135
'0:00.762',-0.170
'0:00.764',-0.095
'0:00.766',-0.085
'0:00.768',-0.090
'0:00.770',-0.105
'0:00.772',-0.105
'0:00.774',-0.100
'0:00.776',-0.095
'0:00.778',-0.115
'0:00.780',-0.115
'0:00.782',-0.090
'0:00.784',-0.090
'0:00.786',-0.065
'0:00.788',-0.045
'0:00.790',-0.085
'0:00.792',-0.065
'0:00.794',-0.060
'0:00.796',-0.100
'0:00.798',-0.120
'0:00.800',-0.070
'0:00.802',-0.055
'0:00.804',-0.095
'0:00.806',-0.120
'0:00.808',-0.090
'0:00.810',-0.045
'0:00.812',-0.060
'0:00.814',-0.035
'0:00.816',-0.005
'0:00.818',-0.085
'0:00.820',-0.115
'0:00.822',-0.125
'0:00.824',-0.065
'0:00.826',-0.025
'0:00.828',-0.060
'0:00.830',0.005
'0:00.832',-0.005
'0:00.834',-0.015
'0:00.836',-0.020
'0:00.838',0.025
'0:00.840',-0.015
'0:00.842',-0.045
'0:00.844',-0.045
'0:00.846',-0.080
'0:00.848',-0.070
'0:00.850',-0.085
'0:00.852',-0.100
