'Elapsed time','ECG I filtered'
'hh:mm:ss.mmm','mV'
'0:00.000',-0.060
'0:00.002',-0.060
'0:00.004',-0.055
'0:00.006',-0.050
'0:00.008',-0.050
'0:00.010',-0.045
'0:00.012',-0.040
'0:00.014',-0.040
'0:00.016',-0.040
'0:00.018',-0.040
'0:00.020',-0.045
'0:00.022',-0.050
'0:00.024',-0.050
'0:00.026',-0.045
'0:00.028',-0.040
'0:00.030',-0.030
'0:00.032',-0.020
'0:00.034',-0.005
'0:00.036',0.000
'0:00.038',0.005
'0:00.040',0.005
'0:00.042',0.000
'0:00.044',-0.010
'0:00.046',-0.020
'0:00.048',-0.030
'0:00.050',-0.040
'0:00.052',-0.040
'0:00.054',-0.040
'0:00.056',-0.035
'0:00.058',-0.030
'0:00.060',-0.030
'0:00.062',-0.025
'0:00.064',-0.030
'0:00.066',-0.035
'0:00.068',-0.040
'0:00.070',-0.045
'0:00.072',-0.055
'0:00.074',-0.055
'0:00.076',-0.055
'0:00.078',-0.055
'0:00.080',-0.050
'0:00.082',-0.045
'0:00.084',-0.040
'0:00.086',-0.040
'0:00.088',-0.040
'0:00.090',-0.040
'0:00.092',-0.045
'0:00.094',-0.045
'0:00.096',-0.045
'0:00.098',-0.045
'0:00.100',-0.045
'0:00.102',-0.040
'0:00.104',-0.035
'0:00.106',-0.030
'0:00.108',-0.025
'0:00.110',-0.025
'0:00.112',-0.025
'0:00.114',-0.020
'0:00.116',-0.020
'0:00.118',-0.025
'0:00.120',-0.025
'0:00.122',-0.030
'0:00.124',-0.030
'0:00.126',-0.035
'0:00.128',-0.035
'0:00.130',-0.040
'0:00.132',-0.045
'0:00.134',-0.045
'0:00.136',-0.045
'0:00.138',-0.045
'0:00.140',-0.045
'0:00.142',-0.040
'0:00.144',-0.040
'0:00.146',-0.035
'0:00.148',-0.035
'0:00.150',-0.035
'0:00.152',-0.035
'0:00.154',-0.035
'0:00.156',-0.035
'0:00.158',-0.035
'0:00.160',-0.030
'0:00.162',-0.025
'0:00.164',-0.015
'0:00.166',-0.010
'0:00.168',-0.005
'0:00.170',0.000
'0:00.172',0.000
'0:00.174',0.000
'0:00.176',0.000
'0:00.178',0.000
'0:00.180',0.000
'0:00.182',0.000
'0:00.184',0.005
'0:00.186',0.010
'0:00.188',0.015
'0:00.190',0.020
'0:00.192',0.020
'0:00.194',0.020
'0:00.196',0.015
'0:00.198',0.010
'0:00.200',0.000
'0:00.202',-0.005
'0:00.204',-0.010
'0:00.206',-0.015
'0:00.208',-0.020
'0:00.210',-0.025
'0:00.212',-0.030
'0:00.214',-0.035
'0:00.216',-0.045
'0:00.218',-0.055
'0:00.220',-0.065
'0:00.222',-0.070
'0:00.224',-0.075
'0:00.226',-0.075
'0:00.228',-0.075
'0:00.230',-0.065
'0:00.232',-0.060
'0:00.234',-0.050
'0:00.236',-0.045
'0:00.238',-0.045
'0:00.240',-0.050
'0:00.242',-0.060
'0:00.244',-0.070
'0:00.246',-0.080
'0:00.248',-0.085
'0:00.250',-0.085
'0:00.252',-0.085
'0:00.254',-0.075
'0:00.256',-0.065
'0:00.258',-0.060
'0:00.260',-0.050
'0:00.262',-0.050
'0:00.264',-0.050
'0:00.266',-0.055
'0:00.268',-0.065
'0:00.270',-0.075
'0:00.272',-0.075
'0:00.274',-0.075
'0:00.276',-0.065
'0:00.278',-0.045
'0:00.280',-0.015
'0:00.282',0.025
'0:00.284',0.065
'0:00.286',0.115
'0:00.288',0.160
'0:00.290',0.210
'0:00.292',0.255
'0:00.294',0.300
'0:00.296',0.340
'0:00.298',0.380
'0:00.300',0.415
'0:00.302',0.445
'0:00.304',0.460
'0:00.306',0.455
'0:00.308',0.435
'0:00.310',0.385
'0:00.312',0.310
'0:00.314',0.210
'0:00.316',0.095
'0:00.318',-0.030
'0:00.320',-0.150
'0:00.322',-0.255
'0:00.324',-0.335
'0:00.326',-0.385
'0:00.328',-0.400
'0:00.330',-0.385
'0:00.332',-0.345
'0:00.334',-0.290
'0:00.336',-0.225
'0:00.338',-0.165
'0:00.340',-0.110
'0:00.342',-0.075
'0:00.344',-0.050
'0:00.346',-0.040
'0:00.348',-0.040
'0:00.350',-0.045
'0:00.352',-0.050
'0:00.354',-0.055
'0:00.356',-0.060
'0:00.358',-0.060
'0:00.360',-0.055
'0:00.362',-0.055
'0:00.364',-0.055
'0:00.366',-0.050
'0:00.368',-0.050
'0:00.370',-0.045
'0:00.372',-0.040
'0:00.374',-0.035
'0:00.376',-0.030
'0:00.378',-0.020
'0:00.380',-0.015
'0:00.382',-0.010
'0:00.384',-0.010
'0:00.386',-0.015
'0:00.388',-0.025
'0:00.390',-0.035
'0:00.392',-0.050
'0:00.394',-0.060
'0:00.396',-0.065
'0:00.398',-0.065
'0:00.400',-0.055
'0:00.402',-0.045
'0:00.404',-0.030
'0:00.406',-0.015
'0:00.408',0.000
'0:00.410',0.005
'0:00.412',0.005
'0:00.414',0.005
'0:00.416',0.000
'0:00.418',-0.005
'0:00.420',-0.010
'0:00.422',-0.010
'0:00.424',-0.005
'0:00.426',0.005
'0:00.428',0.020
'0:00.430',0.030
'0:00.432',0.035
'0:00.434',0.035
'0:00.436',0.035
'0:00.438',0.030
'0:00.440',0.025
'0:00.442',0.020
'0:00.444',0.015
'0:00.446',0.020
'0:00.448',0.030
'0:00.450',0.040
'0:00.452',0.050
'0:00.454',0.060
'0:00.456',0.070
'0:00.458',0.075
'0:00.460',0.080
'0:00.462',0.080
'0:00.464',0.080
'0:00.466',0.085
'0:00.468',0.085
'0:00.470',0.085
'0:00.472',0.090
'0:00.474',0.090
'0:00.476',0.090
'0:00.478',0.085
'0:00.480',0.080
'0:00.482',0.080
'0:00.484',0.080
'0:00.486',0.085
'0:00.488',0.095
'0:00.490',0.110
'0:00.492',0.125
'0:00.494',0.145
'0:00.496',0.160
'0:00.498',0.175
'0:00.500',0.180
'0:00.502',0.185
'0:00.504',0.185
'0:00.506',0.180
'0:00.508',0.175
'0:00.510',0.175
'0:00.512',0.175
'0:00.514',0.180
'0:00.516',0.180
'0:00.518',0.185
'0:00.520',0.190
'0:00.522',0.190
'0:00.524',0.185
'0:00.526',0.180
'0:00.528',0.175
'0:00.530',0.175
'0:00.532',0.170
'0:00.534',0.175
'0:00.536',0.175
'0:00.538',0.185
'0:00.540',0.190
'0:00.542',0.195
'0:00.544',0.200
'0:00.546',0.200
'0:00.548',0.195
'0:00.550',0.190
'0:00.552',0.180
'0:00.554',0.170
'0:00.556',0.160
'0:00.558',0.145
'0:00.560',0.130
'0:00.562',0.115
