'Elapsed time','D3'
'hh:mm:ss.mmm','mV'
'0:00.000',7.685
'0:00.004',7.710
'0:00.008',7.735
'0:00.012',7.690
'0:00.016',7.700
'0:00.020',7.640
'0:00.024',7.615
'0:00.028',7.650
'0:00.032',7.665
'0:00.036',7.735
'0:00.040',7.710
'0:00.044',7.685
'0:00.048',7.655
'0:00.052',7.630
'0:00.056',7.625
'0:00.060',7.665
'0:00.064',7.710
'0:00.068',7.715
'0:00.072',7.715
'0:00.076',7.655
'0:00.080',7.650
'0:00.084',7.665
'0:00.088',7.685
'0:00.092',7.690
'0:00.096',7.655
'0:00.100',7.655
'0:00.104',7.630
'0:00.108',7.640
'0:00.112',7.615
'0:00.116',7.615
'0:00.120',7.640
'0:00.124',7.655
'0:00.128',7.685
'0:00.132',7.710
'0:00.136',7.710
'0:00.140',7.665
'0:00.144',7.665
'0:00.148',7.630
'0:00.152',7.605
'0:00.156',7.630
'0:00.160',7.630
'0:00.164',7.650
'0:00.168',7.685
'0:00.172',7.715
'0:00.176',7.700
'0:00.180',7.640
'0:00.184',7.540
'0:00.188',7.540
'0:00.192',7.555
'0:00.196',7.630
'0:00.200',7.640
'0:00.204',7.650
'0:00.208',7.685
'0:00.212',7.665
'0:00.216',7.625
'0:00.220',7.600
'0:00.224',7.630
'0:00.228',7.640
'0:00.232',7.640
'0:00.236',7.685
'0:00.240',7.715
'0:00.244',7.750
'0:00.248',7.675
'0:00.252',7.615
'0:00.256',7.615
'0:00.260',7.640
'0:00.264',7.675
'0:00.268',7.685
'0:00.272',7.710
'0:00.276',7.700
'0:00.280',7.625
'0:00.284',7.540
'0:00.288',7.325
'0:00.292',7.025
'0:00.296',6.855
'0:00.300',6.715
'0:00.304',6.450
'0:00.308',6.300
'0:00.312',6.495
'0:00.316',6.905
'0:00.320',7.390
'0:00.324',7.810
'0:00.328',7.980
'0:00.332',7.865
'0:00.336',7.745
'0:00.340',7.640
'0:00.344',7.590
'0:00.348',7.540
'0:00.352',7.505
'0:00.356',7.540
'0:00.360',7.570
'0:00.364',7.540
'0:00.368',7.460
'0:00.372',7.505
'0:00.376',7.570
'0:00.380',7.605
'0:00.384',7.580
'0:00.388',7.495
'0:00.392',7.470
'0:00.396',7.530
'0:00.400',7.540
'0:00.404',7.510
'0:00.408',7.510
'0:00.412',7.570
'0:00.416',7.630
'0:00.420',7.540
'0:00.424',7.480
'0:00.428',7.445
'0:00.432',7.435
'0:00.436',7.460
'0:00.440',7.540
'0:00.444',7.540
'0:00.448',7.470
'0:00.452',7.435
'0:00.456',7.435
'0:00.460',7.420
'0:00.464',7.420
'0:00.468',7.485
'0:00.472',7.510
'0:00.476',7.390
'0:00.480',7.340
'0:00.484',7.390
'0:00.488',7.420
'0:00.492',7.410
'0:00.496',7.390
'0:00.500',7.300
'0:00.504',7.230
'0:00.508',7.290
'0:00.512',7.325
'0:00.516',7.315
'0:00.520',7.300
'0:00.524',7.240
'0:00.528',7.220
'0:00.532',7.170
'0:00.536',7.120
'0:00.540',7.160
'0:00.544',7.130
'0:00.548',7.095
'0:00.552',7.095
'0:00.556',6.980
'0:00.560',6.855
'0:00.564',6.890
'0:00.568',6.920
'0:00.572',6.915
'0:00.576',6.845
'0:00.580',6.770
'0:00.584',6.735
'0:00.588',6.615
'0:00.592',6.675
'0:00.596',6.700
'0:00.600',6.715
'0:00.604',6.745
'0:00.608',6.750
'0:00.612',6.770
'0:00.616',6.820
'0:00.620',6.950
'0:00.624',7.050
'0:00.628',7.155
'0:00.632',7.160
'0:00.636',7.240
'0:00.640',7.325
'0:00.644',7.350
'0:00.648',7.325
'0:00.652',7.290
'0:00.656',7.410
'0:00.660',7.545
'0:00.664',7.540
'0:00.668',7.540
'0:00.672',7.510
'0:00.676',7.530
'0:00.680',7.540
'0:00.684',7.580
'0:00.688',7.565
'0:00.692',7.565
'0:00.696',7.605
'0:00.700',7.590
'0:00.704',7.540
'0:00.708',7.565
'0:00.712',7.545
'0:00.716',7.600
'0:00.720',7.580
'0:00.724',7.540
'0:00.728',7.570
'0:00.732',7.580
'0:00.736',7.590
'0:00.740',7.570
'0:00.744',7.580
'0:00.748',7.590
'0:00.752',7.570
'0:00.756',7.570
'0:00.760',7.640
'0:00.764',7.625
'0:00.768',7.615
'0:00.772',7.600
'0:00.776',7.570
'0:00.780',7.570
'0:00.784',7.600
'0:00.788',7.625
'0:00.792',7.605
'0:00.796',7.570
'0:00.800',7.605
'0:00.804',7.640
'0:00.808',7.640
'0:00.812',7.665
'0:00.816',7.625
'0:00.820',7.580
'0:00.824',7.655
'0:00.828',7.650
'0:00.832',7.675
'0:00.836',7.685
'0:00.840',7.675
'0:00.844',7.580
'0:00.848',7.570
'0:00.852',7.615
'0:00.856',7.625
'0:00.860',7.605
'0:00.864',7.630
'0:00.868',7.650
'0:00.872',7.650
'0:00.876',7.685
'0:00.880',7.655
'0:00.884',7.655
'0:00.888',7.710
'0:00.892',7.640
'0:00.896',7.615
'0:00.900',7.615
'0:00.904',7.655
'0:00.908',7.665
'0:00.912',7.690
'0:00.916',7.710
'0:00.920',7.690
'0:00.924',7.665
'0:00.928',7.675
'0:00.932',7.640
'0:00.936',7.640
'0:00.940',7.685
'0:00.944',7.665
'0:00.948',7.640
'0:00.952',7.650
'0:00.956',7.685
'0:00.960',7.685
'0:00.964',7.650
'0:00.968',7.685
'0:00.972',7.715
'0:00.976',7.685
'0:00.980',7.685
'0:00.984',7.655
'0:00.988',7.640
'0:00.992',7.735
'0:00.996',7.735
'0:01.000',7.685
'0:01.004',7.675
'0:01.008',7.675
'0:01.012',7.655
'0:01.016',7.655
'0:01.020',7.665
'0:01.024',7.690
'0:01.028',7.710
'0:01.032',7.725
'0:01.036',7.700
'0:01.040',7.675
'0:01.044',7.700
'0:01.048',7.655
'0:01.052',7.685
'0:01.056',7.685
'0:01.060',7.690
'0:01.064',7.685
'0:01.068',7.655
'0:01.072',7.675
'0:01.076',7.665
'0:01.080',7.675
'0:01.084',7.685
'0:01.088',7.690
'0:01.092',7.675
'0:01.096',7.675
'0:01.100',7.700
'0:01.104',7.725
'0:01.108',7.710
'0:01.112',7.725
