'Elapsed time','MLIII'
'hh:mm:ss.mmm','mV'
'0:00.000',3.755
'0:00.004',3.760
'0:00.008',3.740
'0:00.012',3.725
'0:00.016',3.705
'0:00.020',3.710
'0:00.024',3.710
'0:00.028',3.710
'0:00.032',3.705
'0:00.036',3.695
'0:00.040',3.705
'0:00.044',3.670
'0:00.048',3.655
'0:00.052',3.655
'0:00.056',3.690
'0:00.060',3.730
'0:00.064',3.880
'0:00.068',4.175
'0:00.072',4.555
'0:00.076',4.895
'0:00.080',4.950
'0:00.084',4.795
'0:00.088',4.565
'0:00.092',4.335
'0:00.096',4.155
'0:00.100',4.005
'0:00.104',3.945
'0:00.108',3.920
'0:00.112',3.850
'0:00.116',3.795
'0:00.120',3.745
'0:00.124',3.725
'0:00.128',3.705
'0:00.132',3.695
'0:00.136',3.685
'0:00.140',3.685
'0:00.144',3.670
'0:00.148',3.660
'0:00.152',3.670
'0:00.156',3.670
'0:00.160',3.685
'0:00.164',3.685
'0:00.168',3.695
'0:00.172',3.695
'0:00.176',3.675
'0:00.180',3.675
'0:00.184',3.685
'0:00.188',3.695
'0:00.192',3.705
'0:00.196',3.710
'0:00.200',3.710
'0:00.204',3.725
'0:00.208',3.710
'0:00.212',3.695
'0:00.216',3.695
'0:00.220',3.710
'0:00.224',3.710
'0:00.228',3.720
'0:00.232',3.710
'0:00.236',3.725
'0:00.240',3.710
'0:00.244',3.690
'0:00.248',3.720
'0:00.252',3.695
'0:00.256',3.710
'0:00.260',3.710
'0:00.264',3.695
'0:00.268',3.725
'0:00.272',3.710
'0:00.276',3.710
'0:00.280',3.725
'0:00.284',3.730
'0:00.288',3.760
'0:00.292',3.760
'0:00.296',3.755
'0:00.300',3.745
'0:00.304',3.760
'0:00.308',3.755
'0:00.312',3.765
'0:00.316',3.780
'0:00.320',3.815
'0:00.324',3.830
'0:00.328',3.830
'0:00.332',3.835
'0:00.336',3.850
'0:00.340',3.860
'0:00.344',3.865
'0:00.348',3.875
'0:00.352',3.885
'0:00.356',3.885
'0:00.360',3.880
'0:00.364',3.875
'0:00.368',3.850
'0:00.372',3.875
'0:00.376',3.865
'0:00.380',3.865
'0:00.384',3.880
'0:00.388',3.880
'0:00.392',3.880
'0:00.396',3.865
'0:00.400',3.875
'0:00.404',3.875
'0:00.408',3.885
'0:00.412',3.860
'0:00.416',3.880
'0:00.420',3.875
'0:00.424',3.880
'0:00.428',3.880
'0:00.432',3.850
'0:00.436',3.880
'0:00.440',3.885
'0:00.444',3.895
'0:00.448',3.895
'0:00.452',3.880
'0:00.456',3.865
'0:00.460',3.865
'0:00.464',3.875
'0:00.468',3.875
'0:00.472',3.865
'0:00.476',3.880
'0:00.480',3.880
'0:00.484',3.895
'0:00.488',3.885
'0:00.492',3.880
'0:00.496',3.875
'0:00.500',3.895
'0:00.504',3.895
'0:00.508',3.880
'0:00.512',3.880
'0:00.516',3.875
'0:00.520',3.865
'0:00.524',3.860
'0:00.528',3.875
'0:00.532',3.880
'0:00.536',3.865
'0:00.540',3.865
'0:00.544',3.880
'0:00.548',3.875
'0:00.552',3.860
'0:00.556',3.865
'0:00.560',3.875
'0:00.564',3.880
'0:00.568',3.885
'0:00.572',3.895
'0:00.576',3.880
'0:00.580',3.875
'0:00.584',3.860
'0:00.588',3.865
'0:00.592',3.875
'0:00.596',3.860
'0:00.600',3.850
'0:00.604',3.875
'0:00.608',3.880
'0:00.612',3.880
'0:00.616',3.885
'0:00.620',3.880
'0:00.624',3.930
'0:00.628',3.970
'0:00.632',4.005
'0:00.636',4.035
'0:00.640',4.100
'0:00.644',4.120
'0:00.648',4.125
'0:00.652',4.135
'0:00.656',4.185
'0:00.660',4.275
'0:00.664',4.300
'0:00.668',4.275
'0:00.672',4.220
'0:00.676',4.190
'0:00.680',4.160
'0:00.684',4.135
'0:00.688',4.075
'0:00.692',3.990
'0:00.696',3.920
'0:00.700',3.850
'0:00.704',3.825
'0:00.708',3.825
'0:00.712',3.850
'0:00.716',3.880
'0:00.720',3.845
'0:00.724',3.830
'0:00.728',3.815
'0:00.732',3.800
'0:00.736',3.775
'0:00.740',3.780
'0:00.744',3.795
'0:00.748',3.810
'0:00.752',3.795
'0:00.756',3.780
'0:00.760',3.765
'0:00.764',3.725
'0:00.768',3.690
'0:00.772',3.725
'0:00.776',3.740
'0:00.780',3.795
'0:00.784',3.895
'0:00.788',4.160
'0:00.792',4.515
'0:00.796',4.900
'0:00.800',5.085
'0:00.804',4.980
'0:00.808',4.760
'0:00.812',4.565
'0:00.816',4.385
'0:00.820',4.230
'0:00.824',4.140
'0:00.828',4.035
'0:00.832',3.955
'0:00.836',3.880
'0:00.840',3.845
'0:00.844',3.825
'0:00.848',3.835
'0:00.852',3.830
'0:00.856',3.795
'0:00.860',3.765
'0:00.864',3.780
'0:00.868',3.815
'0:00.872',3.810
'0:00.876',3.790
'0:00.880',3.795
'0:00.884',3.795
'0:00.888',3.815
'0:00.892',3.815
'0:00.896',3.815
'0:00.900',3.845
'0:00.904',3.850
'0:00.908',3.865
'0:00.912',3.875
'0:00.916',3.860
'0:00.920',3.835
'0:00.924',3.815
'0:00.928',3.815
'0:00.932',3.835
'0:00.936',3.850
'0:00.940',3.880
'0:00.944',3.880
'0:00.948',3.885
'0:00.952',3.885
'0:00.956',3.865
'0:00.960',3.910
'0:00.964',3.910
'0:00.968',3.885
'0:00.972',3.895
'0:00.976',3.895
'0:00.980',3.885
'0:00.984',3.880
'0:00.988',3.895
'0:00.992',3.895
'0:00.996',3.885
'0:01.000',3.900
'0:01.004',3.910
'0:01.008',3.910
'0:01.012',3.880
'0:01.016',3.895
'0:01.020',3.935
'0:01.024',3.955
'0:01.028',3.965
'0:01.032',3.985
'0:01.036',4.005
'0:01.040',3.990
'0:01.044',4.000
'0:01.048',4.030
'0:01.052',4.050
'0:01.056',4.100
'0:01.060',4.120
'0:01.064',4.135
'0:01.068',4.145
'0:01.072',4.155
'0:01.076',4.140
'0:01.080',4.140
'0:01.084',4.160
'0:01.088',4.175
'0:01.092',4.185
'0:01.096',4.160
'0:01.100',4.170
'0:01.104',4.155
'0:01.108',4.145
'0:01.112',4.145
'0:01.116',4.145
'0:01.120',4.155
'0:01.124',4.205
'0:01.128',4.190
'0:01.132',4.210
'0:01.136',4.185
'0:01.140',4.185
'0:01.144',4.205
'0:01.148',4.185
'0:01.152',4.220
'0:01.156',4.220
'0:01.160',4.230
'0:01.164',4.230
'0:01.168',4.205
'0:01.172',4.210
'0:01.176',4.210
'0:01.180',4.210
'0:01.184',4.230
'0:01.188',4.240
'0:01.192',4.245
'0:01.196',4.220
'0:01.200',4.220
'0:01.204',4.230
'0:01.208',4.255
'0:01.212',4.265
'0:01.216',4.265
'0:01.220',4.245
'0:01.224',4.230
'0:01.228',4.240
'0:01.232',4.245
'0:01.236',4.245
'0:01.240',4.260
'0:01.244',4.255
'0:01.248',4.265
'0:01.252',4.275
'0:01.256',4.265
'0:01.260',4.265
'0:01.264',4.265
'0:01.268',4.275
'0:01.272',4.275
'0:01.276',4.275
'0:01.280',4.275
'0:01.284',4.275
'0:01.288',4.290
'0:01.292',4.325
'0:01.296',4.300
'0:01.300',4.300
'0:01.304',4.300
'0:01.308',4.315
'0:01.312',4.345
'0:01.316',4.325
'0:01.320',4.300
'0:01.324',4.290
'0:01.328',4.300
'0:01.332',4.325
'0:01.336',4.330
'0:01.340',4.335
'0:01.344',4.345
'0:01.348',4.345
'0:01.352',4.325
'0:01.356',4.315
'0:01.360',4.330
'0:01.364',4.360
'0:01.368',4.380
'0:01.372',4.415
'0:01.376',4.435
'0:01.380',4.450
'0:01.384',4.485
'0:01.388',4.515
'0:01.392',4.535
'0:01.396',4.555
'0:01.400',4.585
'0:01.404',4.660
'0:01.408',4.725
'0:01.412',4.730
'0:01.416',4.720
'0:01.420',4.670
'0:01.424',4.625
'0:01.428',4.605
'0:01.432',4.570
'0:01.436',4.520
'0:01.440',4.465
'0:01.444',4.435
'0:01.448',4.400
'0:01.452',4.385
'0:01.456',4.385
'0:01.460',4.385
'0:01.464',4.385
'0:01.468',4.385
'0:01.472',4.360
'0:01.476',4.345
'0:01.480',4.365
'0:01.484',4.345
'0:01.488',4.345
'0:01.492',4.335
'0:01.496',4.360
'0:01.500',4.395
'0:01.504',4.380
'0:01.508',4.365
'0:01.512',4.350
'0:01.516',4.330
'0:01.520',4.325
'0:01.524',4.300
'0:01.528',4.330
'0:01.532',4.445
'0:01.536',4.720
'0:01.540',5.105
'0:01.544',5.445
'0:01.548',5.620
'0:01.552',5.570
'0:01.556',5.415
'0:01.560',5.225
'0:01.564',4.990
'0:01.568',4.830
'0:01.572',4.725
'0:01.576',4.660
'0:01.580',4.550
'0:01.584',4.500
'0:01.588',4.470
'0:01.592',4.455
'0:01.596',4.435
'0:01.600',4.400
'0:01.604',4.410
'0:01.608',4.410
'0:01.612',4.410
'0:01.616',4.400
'0:01.620',4.415
'0:01.624',4.445
'0:01.628',4.435
'0:01.632',4.435
'0:01.636',4.410
'0:01.640',4.415
'0:01.644',4.430
'0:01.648',4.470
'0:01.652',4.470
'0:01.656',4.480
'0:01.660',4.470
'0:01.664',4.445
'0:01.668',4.455
'0:01.672',4.455
'0:01.676',4.455
'0:01.680',4.455
'0:01.684',4.465
'0:01.688',4.470
'0:01.692',4.470
'0:01.696',4.470
'0:01.700',4.480
'0:01.704',4.480
'0:01.708',4.480
'0:01.712',4.465
'0:01.716',4.470
'0:01.720',4.490
'0:01.724',4.490
'0:01.728',4.455
'0:01.732',4.445
'0:01.736',4.445
'0:01.740',4.455
'0:01.744',4.485
