'Elapsed time','MLIII'
'hh:mm:ss.mmm','mV'
'0:00.000',-1.235
'0:00.004',-1.245
'0:00.008',-1.235
'0:00.012',-1.245
'0:00.016',-1.260
'0:00.020',-1.290
'0:00.024',-1.315
'0:00.028',-1.325
'0:00.032',-1.310
'0:00.036',-1.320
'0:00.040',-1.310
'0:00.044',-1.310
'0:00.048',-1.310
'0:00.052',-1.340
'0:00.056',-1.360
'0:00.060',-1.370
'0:00.064',-1.355
'0:00.068',-1.345
'0:00.072',-1.320
'0:00.076',-1.345
'0:00.080',-1.370
'0:00.084',-1.385
'0:00.088',-1.380
'0:00.092',-1.355
'0:00.096',-1.345
'0:00.100',-1.345
'0:00.104',-1.360
'0:00.108',-1.345
'0:00.112',-1.325
'0:00.116',-1.335
'0:00.120',-1.340
'0:00.124',-1.380
'0:00.128',-1.390
'0:00.132',-1.370
'0:00.136',-1.350
'0:00.140',-1.345
'0:00.144',-1.345
'0:00.148',-1.320
'0:00.152',-1.310
'0:00.156',-1.335
'0:00.160',-1.315
'0:00.164',-1.315
'0:00.168',-1.325
'0:00.172',-1.325
'0:00.176',-1.330
'0:00.180',-1.310
'0:00.184',-1.325
'0:00.188',-1.320
'0:00.192',-1.300
'0:00.196',-1.315
'0:00.200',-1.325
'0:00.204',-1.325
'0:00.208',-1.330
'0:00.212',-1.320
'0:00.216',-1.335
'0:00.220',-1.335
'0:00.224',-1.320
'0:00.228',-1.325
'0:00.232',-1.310
'0:00.236',-1.305
'0:00.240',-1.325
'0:00.244',-1.335
'0:00.248',-1.310
'0:00.252',-1.305
'0:00.256',-1.315
'0:00.260',-1.315
'0:00.264',-1.345
'0:00.268',-1.325
'0:00.272',-1.315
'0:00.276',-1.315
'0:00.280',-1.325
'0:00.284',-1.310
'0:00.288',-1.315
'0:00.292',-1.310
'0:00.296',-1.310
'0:00.300',-1.320
'0:00.304',-1.310
'0:00.308',-1.305
'0:00.312',-1.290
'0:00.316',-1.285
'0:00.320',-1.300
'0:00.324',-1.290
'0:00.328',-1.275
'0:00.332',-1.270
'0:00.336',-1.275
'0:00.340',-1.285
'0:00.344',-1.270
'0:00.348',-1.260
'0:00.352',-1.270
'0:00.356',-1.295
'0:00.360',-1.285
'0:00.364',-1.285
'0:00.368',-1.280
'0:00.372',-1.265
'0:00.376',-1.260
'0:00.380',-1.255
'0:00.384',-1.260
'0:00.388',-1.265
'0:00.392',-1.280
'0:00.396',-1.275
'0:00.400',-1.265
'0:00.404',-1.255
'0:00.408',-1.270
'0:00.412',-1.275
'0:00.416',-1.265
'0:00.420',-1.255
'0:00.424',-1.245
'0:00.428',-1.245
'0:00.432',-1.235
'0:00.436',-1.255
'0:00.440',-1.260
'0:00.444',-1.235
'0:00.448',-1.215
'0:00.452',-1.170
'0:00.456',-1.145
'0:00.460',-1.135
'0:00.464',-1.125
'0:00.468',-1.125
'0:00.472',-1.110
'0:00.476',-1.095
'0:00.480',-1.080
'0:00.484',-1.070
'0:00.488',-1.040
'0:00.492',-1.020
'0:00.496',-1.010
'0:00.500',-1.035
'0:00.504',-1.055
'0:00.508',-1.065
'0:00.512',-1.060
'0:00.516',-1.080
'0:00.520',-1.110
'0:00.524',-1.140
'0:00.528',-1.160
'0:00.532',-1.165
'0:00.536',-1.175
'0:00.540',-1.190
'0:00.544',-1.200
'0:00.548',-1.215
'0:00.552',-1.220
'0:00.556',-1.215
'0:00.560',-1.235
'0:00.564',-1.225
'0:00.568',-1.210
'0:00.572',-1.210
'0:00.576',-1.210
'0:00.580',-1.210
'0:00.584',-1.215
'0:00.588',-1.215
'0:00.592',-1.210
'0:00.596',-1.195
'0:00.600',-1.215
'0:00.604',-1.220
'0:00.608',-1.195
'0:00.612',-1.180
'0:00.616',-1.160
'0:00.620',-1.160
'0:00.624',-1.165
'0:00.628',-1.170
'0:00.632',-1.170
'0:00.636',-1.160
'0:00.640',-1.110
'0:00.644',-1.020
'0:00.648',-0.840
'0:00.652',-0.615
'0:00.656',-0.360
'0:00.660',-0.120
'0:00.664',0.035
'0:00.668',0.055
'0:00.672',-0.120
'0:00.676',-0.365
'0:00.680',-0.580
'0:00.684',-0.760
'0:00.688',-0.855
'0:00.692',-0.895
'0:00.696',-0.925
'0:00.700',-0.945
'0:00.704',-0.970
'0:00.708',-0.990
'0:00.712',-1.035
'0:00.716',-1.055
'0:00.720',-1.080
'0:00.724',-1.105
'0:00.728',-1.135
'0:00.732',-1.150
'0:00.736',-1.155
'0:00.740',-1.165
'0:00.744',-1.165
'0:00.748',-1.170
'0:00.752',-1.160
'0:00.756',-1.150
'0:00.760',-1.160
'0:00.764',-1.170
'0:00.768',-1.165
'0:00.772',-1.145
'0:00.776',-1.145
'0:00.780',-1.140
'0:00.784',-1.135
'0:00.788',-1.160
'0:00.792',-1.155
'0:00.796',-1.140
'0:00.800',-1.155
'0:00.804',-1.165
'0:00.808',-1.170
'0:00.812',-1.155
'0:00.816',-1.135
'0:00.820',-1.120
'0:00.824',-1.115
'0:00.828',-1.115
'0:00.832',-1.105
'0:00.836',-1.105
'0:00.840',-1.110
'0:00.844',-1.100
'0:00.848',-1.085
'0:00.852',-1.075
'0:00.856',-1.060
'0:00.860',-1.070
'0:00.864',-1.075
'0:00.868',-1.065
'0:00.872',-1.040
'0:00.876',-1.035
'0:00.880',-1.030
'0:00.884',-1.015
'0:00.888',-1.010
'0:00.892',-0.985
'0:00.896',-0.975
'0:00.900',-0.975
'0:00.904',-0.985
'0:00.908',-0.955
'0:00.912',-0.945
'0:00.916',-0.930
'0:00.920',-0.910
'0:00.924',-0.890
'0:00.928',-0.895
'0:00.932',-0.880
'0:00.936',-0.855
'0:00.940',-0.830
'0:00.944',-0.820
'0:00.948',-0.805
'0:00.952',-0.775
'0:00.956',-0.760
'0:00.960',-0.765
'0:00.964',-0.775
'0:00.968',-0.795
'0:00.972',-0.785
'0:00.976',-0.775
'0:00.980',-0.795
'0:00.984',-0.810
'0:00.988',-0.820
'0:00.992',-0.815
'0:00.996',-0.835
'0:01.000',-0.865
'0:01.004',-0.895
'0:01.008',-0.900
'0:01.012',-0.900
'0:01.016',-0.920
'0:01.020',-0.955
'0:01.024',-0.990
'0:01.028',-1.015
'0:01.032',-1.005
'0:01.036',-1.010
'0:01.040',-1.020
'0:01.044',-1.035
'0:01.048',-1.055
'0:01.052',-1.035
'0:01.056',-1.035
'0:01.060',-1.045
'0:01.064',-1.040
'0:01.068',-1.055
'0:01.072',-1.060
'0:01.076',-1.050
'0:01.080',-1.050
'0:01.084',-1.060
'0:01.088',-1.065
'0:01.092',-1.050
'0:01.096',-1.035
'0:01.100',-1.035
'0:01.104',-1.045
'0:01.108',-1.045
'0:01.112',-1.045
'0:01.116',-1.045
'0:01.120',-1.055
'0:01.124',-1.065
