'Elapsed time','V1'
'hh:mm:ss.mmm','mV'
'0:00.000',-5.38500000
'0:00.004',-5.48000000
'0:00.008',-5.53500000
'0:00.012',-5.57000000
'0:00.016',-5.57500000
'0:00.020',-5.57000000
'0:00.024',-5.56000000
'0:00.028',-5.55000000
'0:00.032',-5.54000000
'0:00.036',-5.53500000
'0:00.040',-5.53000000
'0:00.044',-5.52500000
'0:00.048',-5.52500000
'0:00.052',-5.52500000
'0:00.056',-5.51500000
'0:00.060',-5.51000000
'0:00.064',-5.50500000
'0:00.068',-5.50500000
'0:00.072',-5.51500000
'0:00.076',-5.51500000
'0:00.080',-5.52000000
'0:00.084',-5.52500000
'0:00.088',-5.53000000
'0:00.092',-5.53000000
'0:00.096',-5.54000000
'0:00.100',-5.54000000
'0:00.104',-5.53500000
'0:00.108',-5.52500000
'0:00.112',-5.54000000
'0:00.116',-5.54500000
'0:00.120',-5.55500000
'0:00.124',-5.56000000
'0:00.128',-5.55500000
'0:00.132',-5.56500000
'0:00.136',-5.56000000
'0:00.140',-5.55500000
'0:00.144',-5.54500000
'0:00.148',-5.52500000
'0:00.152',-5.49500000
'0:00.156',-5.46000000
'0:00.160',-5.43000000
'0:00.164',-5.38500000
'0:00.168',-5.34500000
'0:00.172',-5.30000000
'0:00.176',-5.26000000
'0:00.180',-5.22000000
'0:00.184',-5.18000000
'0:00.188',-5.13000000
'0:00.192',-5.09000000
'0:00.196',-5.06000000
'0:00.200',-5.05500000
'0:00.204',-5.06000000
'0:00.208',-5.09000000
'0:00.212',-5.13000000
'0:00.216',-5.18500000
'0:00.220',-5.23500000
'0:00.224',-5.28500000
'0:00.228',-5.32000000
'0:00.232',-5.34000000
'0:00.236',-5.35000000
'0:00.240',-5.36500000
'0:00.244',-5.38500000
'0:00.248',-5.40000000
'0:00.252',-5.41000000
'0:00.256',-5.41000000
'0:00.260',-5.41500000
'0:00.264',-5.41500000
'0:00.268',-5.41000000
'0:00.272',-5.41000000
'0:00.276',-5.40500000
'0:00.280',-5.41000000
'0:00.284',-5.41000000
'0:00.288',-5.41000000
'0:00.292',-5.41500000
'0:00.296',-5.41500000
'0:00.300',-5.41000000
'0:00.304',-5.40000000
'0:00.308',-5.40500000
'0:00.312',-5.41500000
'0:00.316',-5.43500000
'0:00.320',-5.44500000
'0:00.324',-5.45000000
'0:00.328',-5.45500000
'0:00.332',-5.45000000
'0:00.336',-5.46500000
'0:00.340',-5.46000000
'0:00.344',-5.46500000
'0:00.348',-5.46000000
'0:00.352',-5.46500000
'0:00.356',-5.47000000
'0:00.360',-5.47000000
'0:00.364',-5.46500000
'0:00.368',-5.46000000
'0:00.372',-5.45000000
'0:00.376',-5.44500000
'0:00.380',-5.45000000
'0:00.384',-5.45500000
'0:00.388',-5.46500000
'0:00.392',-5.47000000
'0:00.396',-5.46500000
'0:00.400',-5.46000000
'0:00.404',-5.45500000
'0:00.408',-5.44500000
'0:00.412',-5.44000000
'0:00.416',-5.44500000
'0:00.420',-5.45500000
'0:00.424',-5.45500000
'0:00.428',-5.44500000
'0:00.432',-5.44000000
'0:00.436',-5.44000000
'0:00.440',-5.44500000
'0:00.444',-5.45500000
'0:00.448',-5.46500000
'0:00.452',-5.47500000
'0:00.456',-5.48500000
'0:00.460',-5.48500000
'0:00.464',-5.47000000
'0:00.468',-5.47500000
'0:00.472',-5.47500000
'0:00.476',-5.47500000
'0:00.480',-5.48000000
'0:00.484',-5.46000000
'0:00.488',-5.43500000
'0:00.492',-5.39000000
'0:00.496',-5.35500000
'0:00.500',-5.34000000
'0:00.504',-5.34500000
'0:00.508',-5.34500000
'0:00.512',-5.36000000
'0:00.516',-5.37000000
'0:00.520',-5.38000000
'0:00.524',-5.40000000
'0:00.528',-5.42000000
'0:00.532',-5.44500000
'0:00.536',-5.47000000
'0:00.540',-5.48500000
'0:00.544',-5.49500000
'0:00.548',-5.50500000
'0:00.552',-5.50500000
'0:00.556',-5.50500000
'0:00.560',-5.51000000
'0:00.564',-5.51500000
'0:00.568',-5.52500000
'0:00.572',-5.52500000
'0:00.576',-5.52500000
'0:00.580',-5.52000000
'0:00.584',-5.53000000
'0:00.588',-5.53000000
'0:00.592',-5.53000000
'0:00.596',-5.54000000
'0:00.600',-5.54500000
'0:00.604',-5.56000000
'0:00.608',-5.61000000
'0:00.612',-5.68500000
'0:00.616',-5.78500000
'0:00.620',-5.83000000
'0:00.624',-5.74000000
'0:00.628',-5.47000000
'0:00.632',-5.00500000
'0:00.636',-4.44500000
'0:00.640',-3.81000000
'0:00.644',-3.26000000
'0:00.648',-3.16500000
'0:00.652',-3.16000000
'0:00.656',-3.14000000
'0:00.660',-3.19000000
'0:00.664',-3.46500000
'0:00.668',-3.89000000
'0:00.672',-4.40000000
'0:00.676',-4.87500000
'0:00.680',-5.20500000
'0:00.684',-5.42000000
'0:00.688',-5.56500000
'0:00.692',-5.66500000
'0:00.696',-5.73000000
'0:00.700',-5.76000000
'0:00.704',-5.76000000
'0:00.708',-5.74500000
'0:00.712',-5.73500000
'0:00.716',-5.72500000
'0:00.720',-5.72500000
'0:00.724',-5.73000000
'0:00.728',-5.72500000
'0:00.732',-5.71000000
'0:00.736',-5.70500000
'0:00.740',-5.70500000
'0:00.744',-5.71500000
'0:00.748',-5.71000000
'0:00.752',-5.72000000
'0:00.756',-5.71500000
'0:00.760',-5.72000000
'0:00.764',-5.72500000
'0:00.768',-5.73000000
'0:00.772',-5.73500000
'0:00.776',-5.74500000
'0:00.780',-5.74500000
'0:00.784',-5.74500000
'0:00.788',-5.75000000
'0:00.792',-5.75500000
'0:00.796',-5.76000000
'0:00.800',-5.76500000
'0:00.804',-5.77500000
'0:00.808',-5.78500000
'0:00.812',-5.79000000
'0:00.816',-5.79000000
'0:00.820',-5.78000000
'0:00.824',-5.78500000
'0:00.828',-5.77000000
'0:00.832',-5.75500000
'0:00.836',-5.74000000
'0:00.840',-5.71500000
'0:00.844',-5.70000000
'0:00.848',-5.67000000
'0:00.852',-5.63500000
'0:00.856',-5.58500000
'0:00.860',-5.53500000
'0:00.864',-5.48000000
'0:00.868',-5.43000000
'0:00.872',-5.38500000
'0:00.876',-5.34500000
'0:00.880',-5.31500000
'0:00.884',-5.29500000
'0:00.888',-5.29000000
'0:00.892',-5.30000000
'0:00.896',-5.33000000
'0:00.900',-5.37500000
'0:00.904',-5.42500000
'0:00.908',-5.45000000
'0:00.912',-5.48500000
'0:00.916',-5.50500000
'0:00.920',-5.53500000
'0:00.924',-5.55500000
'0:00.928',-5.56500000
'0:00.932',-5.57500000
'0:00.936',-5.58000000
'0:00.940',-5.58000000
'0:00.944',-5.57500000
'0:00.948',-5.57000000
'0:00.952',-5.57500000
'0:00.956',-5.57500000
'0:00.960',-5.58500000
'0:00.964',-5.58500000
'0:00.968',-5.59500000
'0:00.972',-5.59000000
'0:00.976',-5.60000000
'0:00.980',-5.60500000
'0:00.984',-5.61000000
'0:00.988',-5.60000000
'0:00.992',-5.60000000
'0:00.996',-5.60000000
'0:01.000',-5.60500000
'0:01.004',-5.60500000
'0:01.008',-5.61000000
'0:01.012',-5.62500000
'0:01.016',-5.62500000
'0:01.020',-5.61500000
'0:01.024',-5.61500000
'0:01.028',-5.62000000
'0:01.032',-5.61500000
'0:01.036',-5.61000000
'0:01.040',-5.60500000
'0:01.044',-5.59500000
'0:01.048',-5.60500000
'0:01.052',-5.60500000
'0:01.056',-5.60500000
'0:01.060',-5.60500000
'0:01.064',-5.60000000
'0:01.068',-5.59500000
'0:01.072',-5.59000000
'0:01.076',-5.59000000
'0:01.080',-5.59000000
'0:01.084',-5.58500000
'0:01.088',-5.59000000
'0:01.092',-5.59000000
'0:01.096',-5.59000000
'0:01.100',-5.59000000
'0:01.104',-5.58500000
'0:01.108',-5.58500000
'0:01.112',-5.58000000
'0:01.116',-5.58000000
'0:01.120',-5.58500000
'0:01.124',-5.58500000
'0:01.128',-5.58500000
'0:01.132',-5.58500000
'0:01.136',-5.58500000
'0:01.140',-5.58500000
'0:01.144',-5.58000000
'0:01.148',-5.59000000
'0:01.152',-5.59500000
'0:01.156',-5.59000000
'0:01.160',-5.58500000
'0:01.164',-5.57500000
'0:01.168',-5.56000000
'0:01.172',-5.52500000
'0:01.176',-5.49000000
'0:01.180',-5.47000000
'0:01.184',-5.46000000
'0:01.188',-5.46000000
'0:01.192',-5.46500000
'0:01.196',-5.48500000
'0:01.200',-5.49000000
'0:01.204',-5.50500000
'0:01.208',-5.51500000
'0:01.212',-5.53500000
'0:01.216',-5.56500000
'0:01.220',-5.58500000
'0:01.224',-5.60500000
'0:01.228',-5.61500000
'0:01.232',-5.62000000
'0:01.236',-5.61500000
'0:01.240',-5.61500000
'0:01.244',-5.62500000
'0:01.248',-5.64500000
'0:01.252',-5.66500000
'0:01.256',-5.67000000
'0:01.260',-5.66000000
'0:01.264',-5.63500000
'0:01.268',-5.61500000
'0:01.272',-5.61000000
'0:01.276',-5.61000000
'0:01.280',-5.62000000
'0:01.284',-5.64000000
'0:01.288',-5.67500000
'0:01.292',-5.74500000
'0:01.296',-5.86500000
'0:01.300',-5.94500000
'0:01.304',-5.89500000
'0:01.308',-5.66500000
'0:01.312',-5.24000000
'0:01.316',-4.67000000
'0:01.320',-4.03000000
'0:01.324',-3.39500000
'0:01.328',-3.18000000
'0:01.332',-3.15500000
'0:01.336',-3.15000000
'0:01.340',-3.16000000
'0:01.344',-3.42000000
'0:01.348',-3.79000000
'0:01.352',-4.30500000
'0:01.356',-4.84000000
'0:01.360',-5.24000000
'0:01.364',-5.49500000
'0:01.368',-5.65500000
'0:01.372',-5.77000000
'0:01.376',-5.85500000
'0:01.380',-5.89000000
'0:01.384',-5.89500000
'0:01.388',-5.88000000
'0:01.392',-5.87000000
'0:01.396',-5.86000000
'0:01.400',-5.84500000
'0:01.404',-5.83500000
'0:01.408',-5.82500000
'0:01.412',-5.82500000
'0:01.416',-5.82500000
'0:01.420',-5.82500000
'0:01.424',-5.82000000
'0:01.428',-5.81000000
'0:01.432',-5.80500000
'0:01.436',-5.80000000
'0:01.440',-5.80500000
'0:01.444',-5.81000000
'0:01.448',-5.81500000
'0:01.452',-5.82000000
'0:01.456',-5.83000000
'0:01.460',-5.82500000
'0:01.464',-5.83500000
'0:01.468',-5.84500000
'0:01.472',-5.85500000
'0:01.476',-5.86000000
'0:01.480',-5.86500000
'0:01.484',-5.86500000
'0:01.488',-5.86500000
'0:01.492',-5.87500000
'0:01.496',-5.89000000
'0:01.500',-5.90000000
'0:01.504',-5.89000000
'0:01.508',-5.88000000
'0:01.512',-5.84000000
'0:01.516',-5.83000000
'0:01.520',-5.81000000
'0:01.524',-5.78000000
'0:01.528',-5.74500000
'0:01.532',-5.70500000
'0:01.536',-5.67000000
'0:01.540',-5.61500000
'0:01.544',-5.55500000
'0:01.548',-5.49500000
'0:01.552',-5.45000000
'0:01.556',-5.40500000
'0:01.560',-5.36500000
'0:01.564',-5.33500000
'0:01.568',-5.32500000
'0:01.572',-5.34000000
'0:01.576',-5.36000000
'0:01.580',-5.40000000
'0:01.584',-5.45000000
'0:01.588',-5.49500000
'0:01.592',-5.54000000
'0:01.596',-5.57000000
'0:01.600',-5.59000000
'0:01.604',-5.61000000
'0:01.608',-5.62500000
'0:01.612',-5.62500000
'0:01.616',-5.62000000
'0:01.620',-5.62000000
'0:01.624',-5.62500000
'0:01.628',-5.63000000
'0:01.632',-5.63500000
'0:01.636',-5.64000000
'0:01.640',-5.63500000
'0:01.644',-5.63000000
'0:01.648',-5.63500000
'0:01.652',-5.64500000
'0:01.656',-5.64500000
'0:01.660',-5.65000000
'0:01.664',-5.64500000
'0:01.668',-5.64000000
'0:01.672',-5.64500000
'0:01.676',-5.65000000
'0:01.680',-5.65000000
'0:01.684',-5.66500000
'0:01.688',-5.66500000
'0:01.692',-5.66000000
'0:01.696',-5.66000000
'0:01.700',-5.65000000
'0:01.704',-5.65000000
'0:01.708',-5.64000000
'0:01.712',-5.63000000
'0:01.716',-5.63000000
'0:01.720',-5.63000000
'0:01.724',-5.61500000
'0:01.728',-5.60500000
'0:01.732',-5.60000000
'0:01.736',-5.59500000
'0:01.740',-5.60000000
'0:01.744',-5.59000000
'0:01.748',-5.59000000
'0:01.752',-5.59500000
'0:01.756',-5.58500000
'0:01.760',-5.58500000
'0:01.764',-5.58000000
'0:01.768',-5.57500000
'0:01.772',-5.57000000
'0:01.776',-5.57500000
'0:01.780',-5.57000000
'0:01.784',-5.56500000
'0:01.788',-5.56500000
'0:01.792',-5.56000000
'0:01.796',-5.56000000
'0:01.800',-5.56500000
'0:01.804',-5.56000000
'0:01.808',-5.56000000
'0:01.812',-5.56500000
'0:01.816',-5.57500000
'0:01.820',-5.57500000
'0:01.824',-5.57500000
'0:01.828',-5.57500000
'0:01.832',-5.57500000
'0:01.836',-5.57500000
'0:01.840',-5.57500000
'0:01.844',-5.55500000
'0:01.848',-5.53000000
'0:01.852',-5.48500000
'0:01.856',-5.45500000
'0:01.860',-5.44000000
'0:01.864',-5.43500000
'0:01.868',-5.43000000
'0:01.872',-5.43500000
'0:01.876',-5.44000000
'0:01.880',-5.45500000
'0:01.884',-5.47000000
'0:01.888',-5.49000000
'0:01.892',-5.51000000
'0:01.896',-5.53500000
'0:01.900',-5.54500000
'0:01.904',-5.54500000
'0:01.908',-5.55500000
'0:01.912',-5.56000000
'0:01.916',-5.56500000
'0:01.920',-5.57000000
'0:01.924',-5.57500000
'0:01.928',-5.58500000
'0:01.932',-5.58000000
'0:01.936',-5.56500000
'0:01.940',-5.55500000
'0:01.944',-5.55500000
'0:01.948',-5.56500000
'0:01.952',-5.57000000
'0:01.956',-5.57000000
'0:01.960',-5.58000000
'0:01.964',-5.59500000
'0:01.968',-5.63500000
'0:01.972',-5.70500000
'0:01.976',-5.80000000
'0:01.980',-5.87500000
'0:01.984',-5.84500000
'0:01.988',-5.64000000
'0:01.992',-5.24000000
'0:01.996',-4.68000000
'0:02.000',-4.02500000
'0:02.004',-3.38000000
'0:02.008',-3.17500000
'0:02.012',-3.16000000
'0:02.016',-3.14500000
'0:02.020',-3.14000000
'0:02.024',-3.29000000
'0:02.028',-3.63500000
'0:02.032',-4.11500000
'0:02.036',-4.65000000
'0:02.040',-5.06000000
'0:02.044',-5.33000000
'0:02.048',-5.50000000
'0:02.052',-5.61000000
'0:02.056',-5.68500000
'0:02.060',-5.73000000
'0:02.064',-5.74000000
'0:02.068',-5.73500000
'0:02.072',-5.72500000
'0:02.076',-5.71000000
'0:02.080',-5.70000000
'0:02.084',-5.69000000
'0:02.088',-5.68500000
'0:02.092',-5.67500000
'0:02.096',-5.67000000
