'Elapsed time','MLII'
'hh:mm:ss.mmm','mV'
'0:10.000',-0.710
'0:10.003',-0.700
'0:10.006',-0.705
'0:10.008',-0.690
'0:10.011',-0.690
'0:10.014',-0.685
'0:10.017',-0.690
'0:10.019',-0.710
'0:10.022',-0.695
'0:10.025',-0.710
'0:10.028',-0.710
'0:10.031',-0.700
'0:10.033',-0.680
'0:10.036',-0.655
'0:10.039',-0.605
'0:10.042',-0.550
'0:10.044',-0.475
'0:10.047',-0.400
'0:10.050',-0.290
'0:10.053',-0.165
'0:10.056',-0.045
'0:10.058',0.055
'0:10.061',0.120
'0:10.064',0.145
'0:10.067',0.090
'0:10.069',-0.010
'0:10.072',-0.145
'0:10.075',-0.270
'0:10.078',-0.410
'0:10.081',-0.570
'0:10.083',-0.730
'0:10.086',-0.870
'0:10.089',-0.930
'0:10.092',-0.940
'0:10.094',-0.915
'0:10.097',-0.875
'0:10.100',-0.820
'0:10.103',-0.775
'0:10.106',-0.770
'0:10.108',-0.765
'0:10.111',-0.790
'0:10.114',-0.815
'0:10.117',-0.830
'0:10.119',-0.830
'0:10.122',-0.835
'0:10.125',-0.840
'0:10.128',-0.840
'0:10.131',-0.820
'0:10.133',-0.810
'0:10.136',-0.815
'0:10.139',-0.820
'0:10.142',-0.815
'0:10.144',-0.815
'0:10.147',-0.815
'0:10.150',-0.820
'0:10.153',-0.825
'0:10.156',-0.830
'0:10.158',-0.835
'0:10.161',-0.850
'0:10.164',-0.845
'0:10.167',-0.850
'0:10.169',-0.840
'0:10.172',-0.835
'0:10.175',-0.830
'0:10.178',-0.835
'0:10.181',-0.845
'0:10.183',-0.850
'0:10.186',-0.850
'0:10.189',-0.860
'0:10.192',-0.870
'0:10.194',-0.875
'0:10.197',-0.880
'0:10.200',-0.875
'0:10.203',-0.870
'0:10.206',-0.870
'0:10.208',-0.860
'0:10.211',-0.860
'0:10.214',-0.875
'0:10.217',-0.880
'0:10.219',-0.880
'0:10.222',-0.890
'0:10.225',-0.900
'0:10.228',-0.900
'0:10.231',-0.900
'0:10.233',-0.900
'0:10.236',-0.895
'0:10.239',-0.895
'0:10.242',-0.900
'0:10.244',-0.895
'0:10.247',-0.905
'0:10.250',-0.910
'0:10.253',-0.920
'0:10.256',-0.930
'0:10.258',-0.935
'0:10.261',-0.935
'0:10.264',-0.935
'0:10.267',-0.940
'0:10.269',-0.940
'0:10.272',-0.945
'0:10.275',-0.945
'0:10.278',-0.950
'0:10.281',-0.960
'0:10.283',-0.970
'0:10.286',-0.980
'0:10.289',-0.980
'0:10.292',-0.985
'0:10.294',-0.990
'0:10.297',-0.990
'0:10.300',-0.985
'0:10.303',-0.965
'0:10.306',-0.970
'0:10.308',-0.970
'0:10.311',-0.955
'0:10.314',-0.955
'0:10.317',-0.955
'0:10.319',-0.955
'0:10.322',-0.955
'0:10.325',-0.950
'0:10.328',-0.950
'0:10.331',-0.940
'0:10.333',-0.930
'0:10.336',-0.915
'0:10.339',-0.895
'0:10.342',-0.880
'0:10.344',-0.870
'0:10.347',-0.845
'0:10.350',-0.825
'0:10.353',-0.810
'0:10.356',-0.795
'0:10.358',-0.790
'0:10.361',-0.775
'0:10.364',-0.745
'0:10.367',-0.720
'0:10.369',-0.695
'0:10.372',-0.660
'0:10.375',-0.645
'0:10.378',-0.630
'0:10.381',-0.610
'0:10.383',-0.605
'0:10.386',-0.605
'0:10.389',-0.605
'0:10.392',-0.605
'0:10.394',-0.610
'0:10.397',-0.605
'0:10.400',-0.595
'0:10.403',-0.590
'0:10.406',-0.585
'0:10.408',-0.580
'0:10.411',-0.580
'0:10.414',-0.580
